;;;;;;;;;;;;;;;;;;;;;;;;;;
;;CATALOGO DE LIBROS DE LA FISI;;;;;;;;;;;;;;;;;;;;;;;;
;Nº;TITULO;AUTOR;CLASIFICACION;AÑO;;;;;;;;;;;;;;;;;;;;;
;187;Marketing Relacional directo e interactivo;Alvaro Gomez Vieites;HF5415.12.G68;2006;;;;;;;;;;;;;;;;;;;;;
;188;Planes de Negocios Una metodologia alternativa;Pedro Franco Concha;HF5415.12.P4.F82;2015;;;;;;;;;;;;;;;;;;;;;
;189;Planes de Negocios Una metodologia alternativa;Pedro Franco Concha;HF5415.12.P4.F82 ej. 2;2015;;;;;;;;;;;;;;;;;;;;;
;190;Marketing estrategico en la empresa peruana;David Mayorga;HF5415.12.P4.M32;2005;;;;;;;;;;;;;;;;;;;;;
;191;Introduccion a los negocios;William M. Pride;HF5415.12.P4.P86;2017;;;;;;;;;;;;;;;;;;;;;
;192;Introduccion a los negocios;William M. Pride;HF5415.12.P4.P86 ej. 2;2017;;;;;;;;;;;;;;;;;;;;;
;193;Introduccion a los negocios;William M. Pride;HF5415.12.P4.P86 ej. 3;2017;;;;;;;;;;;;;;;;;;;;;
;194;Introduccion a los negocios;William M. Pride;HF5415.12.P4.P86 ej. 4;2017;;;;;;;;;;;;;;;;;;;;;
;195;Introduccion a los negocios;William M. Pride;HF5415.12.P4.P86 ej. 5;2017;;;;;;;;;;;;;;;;;;;;;
;196;Social Media Manager;Dolores Vela Garcia;HF5415.12.V39;2013;;;;;;;;;;;;;;;;;;;;;
;197;Marketing;Roger A. Kerin;HF5415.13.K44;2014;;;;;;;;;;;;;;;;;;;;;
;198;Marketing;Roger A. Kerin;HF5415.13.K44 ej. 2;2014;;;;;;;;;;;;;;;;;;;;;
;199;Marketing;Roger A. Kerin;HF5415.13.K44 ej. 3;2014;;;;;;;;;;;;;;;;;;;;;
;200;Marketing;Roger A. Kerin;HF5415.13.K44 ej. 4;2014;;;;;;;;;;;;;;;;;;;;;
;201;Marketing;Roger A. Kerin;HF5415.13.K44 ej. 5;2014;;;;;;;;;;;;;;;;;;;;;
;202;Marketing Un enfoque global;E. Jerome McCarthy;HF5415.13.M12;2001;;;;;;;;;;;;;;;;;;;;;
;203;CRM Como mejorar las relaciones con los clientes;Ronald S. Swift;HF5415.5.S98;2002;;;;;;;;;;;;;;;;;;;;;
;204;Fundamentos del Marketing;Philip Kotler;HF5415.K77;2003;;;;;;;;;;;;;;;;;;;;;
;205;Fundamentos del Marketing;Gary Armstrong;HF5415.K77 ;2013;;;;;;;;;;;;;;;;;;;;;
;206;Fundamentos del Marketing;Philip Kotler;HF5415.K77 ej. 2;2003;;;;;;;;;;;;;;;;;;;;;
;207;Fundamentos del Marketing;Gary Armstrong;HF5415.K77 ej. 2;2013;;;;;;;;;;;;;;;;;;;;;
;208;Fundamentos del Marketing;Rafael Zalvidea;HF5415.K77 ej. 3;2003;;;;;;;;;;;;;;;;;;;;;
;209;Fundamentos del Marketing;Gary Armstrong;HF5415.K77 ej. 3;2013;;;;;;;;;;;;;;;;;;;;;
;210;Fundamentos del Marketing;Rafael Zalvidea;HF5415.K77 ej. 4;2003;;;;;;;;;;;;;;;;;;;;;
;211;Fundamentos del Marketing;Gary Armstrong;HF5415.K77 ej. 4;2013;;;;;;;;;;;;;;;;;;;;;
;212;Fundamentos del Marketing;Rafael Zalvidea;HF5415.K77 ej. 5;2003;;;;;;;;;;;;;;;;;;;;;
;213;El plan de marketing en la practica;Jose Maria Sainz de Vicuña Ancin;HF5415.S16;2004;;;;;;;;;;;;;;;;;;;;;
;214;Sitemas de informacion para los negocios;Daniel Cohen Karen;HF5548.2.C72;2005;;;;;;;;;;;;;;;;;;;;;
;215;Tecnologias de informacion Estrategias y transformacion en los negocios;Daniel Cohen Karen;HF5548.2.C72T;2014;;;;;;;;;;;;;;;;;;;;;
;216;Aplicaciones de negocios con Microsoft Silverlight 5;Rodrigo Diaz Concha;HF5548.2.D69;2013;;;;;;;;;;;;;;;;;;;;;
;217;Aplicaciones de negocios con Microsoft Silverlight 5;Rodrigo Diaz Concha;HF5548.2.D69 ej. 2;2013;;;;;;;;;;;;;;;;;;;;;
;218;Negocios En ambientes computacionales;Antonio Donadio Medaglia;HF5548.2.N36;2007;;;;;;;;;;;;;;;;;;;;;
;219;Comercio electronico y estrategia empresarial hacia la economia digital;Ana Rosa del Aguila;HF5548.32.A32;2001;;;;;;;;;;;;;;;;;;;;;
;220;Comercio Electronico;Alarcon Herrera Erika;HF5548.32.A35;2005;;;;;;;;;;;;;;;;;;;;;
;221;Comercio electronico y gestion del conocimiento;Augusto Bernuy Alva;HF5548.32.B45;2010;;;;;;;;;;;;;;;;;;;;;
;222;Comercio electronico y gestion del conocimiento;Augusto Bernuy Alva;HF5548.32.B45 ej. 2;2010;;;;;;;;;;;;;;;;;;;;;
;223;Fundamentos de Comercio Electronico;Toby J. Velte;HF5548.32.E44;2001;;;;;;;;;;;;;;;;;;;;;
;224;Comercio electronico 2.0;Oscar Rodrigo Gonzalez;HF5548.32.G66;2014;;;;;;;;;;;;;;;;;;;;;
;225;La tecnologia e-Business;Jose Manuel Huidobro Moya;HF5548.32.H89;2005;;;;;;;;;;;;;;;;;;;;;
;226;E-commerce 2013 Negocios, tecnologia, sociedad;Kenneth C. Laudon;HF5548.32.L29;2014;;;;;;;;;;;;;;;;;;;;;
;227;e-Commerce negocios, tecnologia, sociedad;Kenneth C. Laudon;HF5548.32.L29 ;2009;;;;;;;;;;;;;;;;;;;;;
;228;E-commerce 2013 Negocios, tecnologia, sociedad;Kenneth C. Laudon;HF5548.32.L29 ej. 2;2014;;;;;;;;;;;;;;;;;;;;;
;229;e-Commerce negocios, tecnologia, sociedad;Kenneth C. Laudon;HF5548.32.L29 ej. 2;2009;;;;;;;;;;;;;;;;;;;;;
;230;E-commerce 2013 Negocios, tecnologia, sociedad;Kenneth C. Laudon;HF5548.32.L29 ej. 3;2014;;;;;;;;;;;;;;;;;;;;;
;231;e-Commerce negocios, tecnologia, sociedad;Kenneth C. Laudon;HF5548.32.L29 ej. 3;2009;;;;;;;;;;;;;;;;;;;;;
;232;E-commerce 2013 Negocios, tecnologia, sociedad;Kenneth C. Laudon;HF5548.32.L29 ej. 4;2014;;;;;;;;;;;;;;;;;;;;;
;233;E-commerce 2013 Negocios, tecnologia, sociedad;Kenneth C. Laudon;HF5548.32.L29 ej. 5;2014;;;;;;;;;;;;;;;;;;;;;
;234;Derecho del comercio electronico;Patricia Nieto Melgarejo;HF5548.32.N56;2005;;;;;;;;;;;;;;;;;;;;;
;235;Principios de seguridad en el comercio electronico;Juan Francisco Puentes Calvo;HF5548.32.P91;2009;;;;;;;;;;;;;;;;;;;;;
;236;Principios de seguridad en el comercio electronico;Juan Francisco Puentes Calvo;HF5548.32.P91 ej. 2;2009;;;;;;;;;;;;;;;;;;;;;
;237;e-Commerce;Jeffrey F. Rayport;HF5548.32.R28;2001;;;;;;;;;;;;;;;;;;;;;
;238;Comercio Electronico;Gary P. Schneider;HF5548.32.S29;2004;;;;;;;;;;;;;;;;;;;;;
;239;Comercio Electronico;Gary P. Schneider;HF5548.32.S29 ej. 2;2004;;;;;;;;;;;;;;;;;;;;;
;240;Comercio Electronico;Gary P. Schneider;HF5548.32.S29 ej. 3;2004;;;;;;;;;;;;;;;;;;;;;
;241;Guia Practica conoce y trabaja con Excel ;Empresa Editora Macro;HF5548.4.M523;2013;CAMBIAR CLASIFICACION;;;;;;;;;;;;;;;;;;;;
;242;Analisis estadistico con Excel;Conrad Carlberg;HF5548.4.M523.C17;2012;;;;;;;;;;;;;;;;;;;;;
;243;Excel 2007 Avanzado Con aplicaciones Visual Basic y Macros;Jorge Campos Bayona;HF5548.4.M523.C24;2008;;;;;;;;;;;;;;;;;;;;;
;244;Excel Macros y VBA Edición revisada y actualizada 2010;Bill Jelen;HF5548.4.M523.J36;2008;;;;;;;;;;;;;;;;;;;;;
;245;Macros en Excel Con programacion VBA;Cesar Oceda Samaniego;HF5548.4.M523.O28;2005;;;;;;;;;;;;;;;;;;;;;
;246;Macros en Excel Con programacion VBA;Cesar Oceda Samaniego;HF5548.4.M523.O28;2005;;;;;;;;;;;;;;;;;;;;;
;247;Macros en Excel Con programacion VBA;Cesar Oceda Samaniego;HF5548.4.M523.O28 ej. 2;2005;;;;;;;;;;;;;;;;;;;;;
;248;Macros en Excel Con programacion VBA;Cesar Oceda Samaniego;HF5548.4.M523.O28 ej. 3;2005;;;;;;;;;;;;;;;;;;;;;
;249;Las macros en Microsoft EXCEL;Joan Pallerola Comamala;HF5548.4.M523.P19;2007;;;;;;;;;;;;;;;;;;;;;
;250;Macros con Excel 2007;Gail Perry;HF5548.4.M523.P45;2010;;;;;;;;;;;;;;;;;;;;;
;251;Excel Para contadores;Macro;HF5548.4.M523.R97;2006;;;;;;;;;;;;;;;;;;;;;
;252;Domine Microsoft OFFICE 2007;Francisco Pascual;HF5548.4.M525.P27;2008;;;;;;;;;;;;;;;;;;;;;
;253;Office 2016 Curso Práctico;Handz Valentin;HF5548.4.M525.V21;2016;;;;;;;;;;;;;;;;;;;;;
;254;OpenOffice.org2.x Todo lo que necesita saber sobre software libre;Carlos Hernan Gonzales C;HF5548.4.O57.G71;2006;;;;;;;;;;;;;;;;;;;;;
;255;OpenOffice.org2.x Todo lo que necesita saber sobre software libre;Carlos Hernan Gonzales C;HF5548.4.O57.G71 ej. 2;2006;;;;;;;;;;;;;;;;;;;;;
;256;"Herramientas Informáticas para Arquitectos con Excel y Project Herramientas y planillas para
 el desarrollo profesional del Arquitecto";Julian Salvarredy;HF5549.12.S17;2010;;;;;;;;;;;;;;;;;;;;;
;257;"De la universidad al puesto de trabajo 
Estrategias y recursos para acceder al primer empleo";Gerardo Castillo Ceballos;HF5549.C34;2011;;;;;;;;;;;;;;;;;;;;;
;258;Administración de recursos humanos;Idalberto Chiavenato;HF5549.CH44;2000;;;;;;;;;;;;;;;;;;;;;
;259;Administración de recursos humanos;Idalberto Chiavenato;HF5549.CH44 ej. 2;2000;;;;;;;;;;;;;;;;;;;;;
;260;Contabilidad Un enfoque practico;Leonel Cuellar D;HF5625.C95;2016;;;;;;;;;;;;;;;;;;;;;
;261;Contabilidad Un enfoque practico;Leonel Cuellar D;HF5625.C95 ej. 2;2016;;;;;;;;;;;;;;;;;;;;;
;262;Contabilidad Un enfoque practico;Leonel Cuellar D;HF5625.C95 ej. 3;2016;;;;;;;;;;;;;;;;;;;;;
;263;Contabilidad Un enfoque practico;Leonel Cuellar D;HF5625.C95 ej. 4;2016;;;;;;;;;;;;;;;;;;;;;
;264;Contabilidad Un enfoque practico;Leonel Cuellar D;HF5625.C95 ej. 5;2016;;;;;;;;;;;;;;;;;;;;;
;265;Contabilidad;Charles T. Horngren;HF5625.H76;2010;;;;;;;;;;;;;;;;;;;;;
;266;Contabilidad;Charles T. Horngren;HF5625.H76 ej. 2;2010;;;;;;;;;;;;;;;;;;;;;
;267;Contabilidad;Charles T. Horngren;HF5625.H76 ej. 3;2010;;;;;;;;;;;;;;;;;;;;;
;268;Contabilidad;Charles T. Horngren;HF5625.H76 ej. 4;2010;;;;;;;;;;;;;;;;;;;;;
;269;Contabilidad;Charles T. Horngren;HF5625.H76 ej. 5;2010;;;;;;;;;;;;;;;;;;;;;
;270;Contabilidad;Charles T. Horngren;HF5625.H76 ej. 6;2010;;;;;;;;;;;;;;;;;;;;;
;271;Contabilidad;Charles T. Horngren;HF5625.H76 ej. 7;2010;;;;;;;;;;;;;;;;;;;;;
;272;Contabilidad;Charles T. Horngren;HF5625.H76 ej. 8;2010;;;;;;;;;;;;;;;;;;;;;
;273;Contabilidad;Charles T. Horngren;HF5625.H76 ej. 9;2010;;;;;;;;;;;;;;;;;;;;;
;274;Contabilidad General Teoria y practica;Victor Enrique Marengo Matute;HF5625.M26 T.1;2016;;;;;;;;;;;;;;;;;;;;;
;275;Contabilidad General Teoria y practica;Victor Enrique Marengo Matute;HF5625.M26 T.1 ej. 2;2016;;;;;;;;;;;;;;;;;;;;;
;276;Contabilidad General Teoria y practica;Victor Enrique Marengo Matute;HF5625.M26 T.1 ej. 3;2016;;;;;;;;;;;;;;;;;;;;;
;277;Contabilidad General Teoria y practica;Victor Enrique Marengo Matute;HF5625.M26 T.1 ej. 4;2016;;;;;;;;;;;;;;;;;;;;;
;278;Contabilidad General Teoria y practica;Victor Enrique Marengo Matute;HF5625.M26 T.1 ej. 5;2016;;;;;;;;;;;;;;;;;;;;;
;279;Contabilidad General Teoria y practica;Victor Enrique Marengo Matute;HF5625.M26 T.2 ;2016;;;;;;;;;;;;;;;;;;;;;
;280;Contabilidad General Teoria y practica;Victor Enrique Marengo Matute;HF5625.M26 T.2 ej. 2;2016;;;;;;;;;;;;;;;;;;;;;
;281;Contabilidad General Teoria y practica;Victor Enrique Marengo Matute;HF5625.M26 T.2 ej. 3;2016;;;;;;;;;;;;;;;;;;;;;
;282;Contabilidad General Teoria y practica;Victor Enrique Marengo Matute;HF5625.M26 T.2 ej. 4;2016;;;;;;;;;;;;;;;;;;;;;
;283;Contabilidad General Teoria y practica;Victor Enrique Marengo Matute;HF5625.M26 T.2 ej. 5;2016;;;;;;;;;;;;;;;;;;;;;
;284;"Plan Contable General Revisado Doctrin-
Casuistica-Actividades por sectores";Carlos Paredes Reategui;HF5625.P26 T.1;2003;;;;;;;;;;;;;;;;;;;;;
;285;"Plan Contable General Revisado Doctrin-
Casuistica-Actividades por sectores";Carlos Paredes Reategui;HF5625.P26 T.2 ;2002;;;;;;;;;;;;;;;;;;;;;
;286;"Plan Contable General Revisado Doctrin-
Casuistica-Actividades por sectores";Carlos Paredes Reategui;HF5625.P26 T.2 ej. 2;2002;;;;;;;;;;;;;;;;;;;;;
;287;Contabilidad para la toma de decisiones;Pascual Chavez Ackerman;HF5651.CH533;2003;;;;;;;;;;;;;;;;;;;;;
;288;Contabilidad para la toma de decisiones;Pascual Chavez Ackerman;HF5651.CH533 ej. 2;2003;;;;;;;;;;;;;;;;;;;;;
;289;Auditoria informatica Un enfoque practico 2da Edicion Ampliada y Revisada;Mario G. Piattini;HF5667.12.A88;2001;;;;;;;;;;;;;;;;;;;;;
;290;Auditoria informatica Un enfoque practico 2da Edicion Ampliada y Revisada;Mario G. Piattini;HF5667.12.A88 ej. 2;2001;;;;;;;;;;;;;;;;;;;;;
;291;Auditoria informatica Un enfoque practico 2da Edicion Ampliada y Revisada;Mario G. Piattini;HF5667.12.A88 ej. 3;2001;;;;;;;;;;;;;;;;;;;;;
;292;Auditoria informatica Un enfoque practico 2da Edicion Ampliada y Revisada;Mario G. Piattini;HF5667.12.A88 ej. 4;2001;;;;;;;;;;;;;;;;;;;;;
;293;Auditoria informatica Un enfoque practico 2da Edicion Ampliada y Revisada;Mario G. Piattini;HF5667.12.A88 ej. 5;2001;;;;;;;;;;;;;;;;;;;;;
;294;Auditoria de seguridad informatica;Alvaro Gomez Vieites;HF5667.12.G64;2013;;;;;;;;;;;;;;;;;;;;;
;295;Auditoria Un enfoque practico;Alberto de la Peña Gutierrez;HF5667.P42;2009;;;;;;;;;;;;;;;;;;;;;
;296;Auditoria Un enfoque practico;Alberto de la Peña Gutierrez;HF5667.P42;2009;;;;;;;;;;;;;;;;;;;;;
;297;Auditoria Un enfoque practico;Alberto de la Peña Gutierrez;HF5667.P42 ej. 2;2009;;;;;;;;;;;;;;;;;;;;;
;298;Auditoria Un enfoque practico;Alberto de la Peña Gutierrez;HF5667.P42 ej. 3;2009;;;;;;;;;;;;;;;;;;;;;
;299;Auditoria Administración y finanzas;Alberto de la Peña;HF5667.P42A;2004;;;;;;;;;;;;;;;;;;;;;
;300;Reingenieria de la audotoria informatica;Gustavo Adolfo Solis Montes;HF5667.S66;2002;;;;;;;;;;;;;;;;;;;;;
;301;Software Contable Manual de usuario;Anonimo;HF5679.S57;2005;;;;;;;;;;;;;;;;;;;;;
;302;Fundamentos de costos;Hernan Pabon Barajas;HF5686.C6.P31;2010;;;;;;;;;;;;;;;;;;;;;
;303;Fundamentos de costos;Hernan Pabon Barajas;HF5686.C6.P31 ej. 2;2010;;;;;;;;;;;;;;;;;;;;;
;304;Fundamentos de costos;Hernan Pabon Barajas;HF5686.C6.P31 ej. 3;2010;;;;;;;;;;;;;;;;;;;;;
;305;Fundamentos de costos;Hernan Pabon Barajas;HF5686.C6.P31 ej. 4;2010;;;;;;;;;;;;;;;;;;;;;
;306;Fundamentos de costos;Hernan Pabon Barajas;HF5686.C6.P31 ej. 5;2010;;;;;;;;;;;;;;;;;;;;;
;307;Contabilidad de costos Analisis para la toma de decisiones;Aldo S. Torres Salinas;HF5686.C6.T75 ;2010;;;;;;;;;;;;;;;;;;;;;
;308;"Costos ABC ABM ABB Heramientas para incrementar
 la rentabilidad y la competitividad empresarial";Mario Apaza Meza;HF5686.C8.A64;2004;;;;;;;;;;;;;;;;;;;;;
;309;Elaboracion de costos y presupuestos con S10 2005 para windows;Olger Ugarte Contreras;HF5686.C8.U24;2006;;;;;;;;;;;;;;;;;;;;;
;310;Elaboracion de costos y presupuestos con S10 2005 para windows;Olger Ugarte Contreras;HF5686.C8.U24 ;2014;;;;;;;;;;;;;;;;;;;;;
;311;Elaboracion de costos y presupuestos con S10 2005 para windows;Olger Ugarte Contreras;HF5686.C8.U24 ej. 2;2006;;;;;;;;;;;;;;;;;;;;;
;312;Elaboracion de costos y presupuestos con S10 2005 para windows;Olger Ugarte Contreras;HF5686.C8.U24 ej. 3;2006;;;;;;;;;;;;;;;;;;;;;
;313;Elaboracion de costos y presupuestos con S10 2005 para windows;Olger Ugarte Contreras;HF5686.C8.U24 ej.4;2006;;;;;;;;;;;;;;;;;;;;;
;314;Matematicas financieras;Armando Mora Zambrano;HF5691.M86F;2009;;;;;;;;;;;;;;;;;;;;;
;315;Matematicas financieras;Jose Luis Villalobos;HF5691.V66;2012;;;;;;;;;;;;;;;;;;;;;
;316;Matematicas financieras;Jose Luis Villalobos;HF5691.V66 ej. 2;2012;;;;;;;;;;;;;;;;;;;;;
;317;Matematicas financieras;Jose Luis Villalobos;HF5691.V66 ej. 3;2012;;;;;;;;;;;;;;;;;;;;;
;318;Matematicas financieras;Jose Luis Villalobos;HF5691.V66 ej. 4;2012;;;;;;;;;;;;;;;;;;;;;
;319;Crystal reports V10;Gesvin Romero Moreno;HF5719.R81;2004;;;;;;;;;;;;;;;;;;;;;
;320;Crystal reports V10;Gesvin Romero Moreno;HF5719.R81;2004;;;;;;;;;;;;;;;;;;;;;
;321;505 Verdades publicitarias;Pedro Pratt Gaballi;HF5823.P84;2001;;;;;;;;;;;;;;;;;;;;;
;322;Dinero, banca y mercados financieros;Jorge Fernandez Baca;HG1586.F38;2003;;;;;;;;;;;;;;;;;;;;;
;323;Competitividad y desarrollo Evolucion y prespectiva reciente;German Alarco;HG4026.A35;2011;;;;;;;;;;;;;;;;;;;;;
;324;Proyecto de Inversion Guia para su formulacion y evaluacion estrategica;Walter Andia Valencia;HG4026.A59;2014;;;;;;;;;;;;;;;;;;;;;
;325;Proyecto de Inversion Guia para su formulacion y evaluacion estrategica;Walter Andia Valencia;HG4026.A59 ej. 2;2014;;;;;;;;;;;;;;;;;;;;;
;326;Proyecto de Inversion Guia para su formulacion y evaluacion estrategica;Walter Andia Valencia;HG4026.A59 ej. 3;2014;;;;;;;;;;;;;;;;;;;;;
;327;Proyecto de Inversion Guia para su formulacion y evaluacion estrategica;Walter Andia Valencia;HG4026.A59 ej. 4;2014;;;;;;;;;;;;;;;;;;;;;
;328;Proyecto de Inversion Guia para su formulacion y evaluacion estrategica;Walter Andia Valencia;HG4026.A59 ej. 5;2014;;;;;;;;;;;;;;;;;;;;;
;329;Analisis Finaciero Tecnicas para la toma de decisiones;James O. Gill;HG4026.G4;1994;;;;;;;;;;;;;;;;;;;;;
;330;Finanzas corporativas;Stephen A. Ross;HG4026.R84;2000;;;;;;;;;;;;;;;;;;;;;
;331;Project 2016;Luis Angulo Aguirre;HG4515.A61;2016;;;;;;;;;;;;;;;;;;;;;
;332;Guia practica para la gestion de proyectos con responsabilidad social;Sara Elsa Elizondo;HG4515.C34;2012;;;;;;;;;;;;;;;;;;;;;
;333;Guia practica para la gestion de proyectos con responsabilidad social;Sara Elsa Elizondo;HG4515.C34 ej. 2;2012;;;;;;;;;;;;;;;;;;;;;
;334;Evaluacion de proyectos de inversion en la empresa;Nassir Sapag Chain;HG4515.S22;2005;;;;;;;;;;;;;;;;;;;;;
;335;Evaluacion de proyectos de inversion en la empresa;Nassir Sapag Chain;HG4515.S22 ej. 2;2005;;;;;;;;;;;;;;;;;;;;;
;336;Sistemas de control de gestion;Robert N. Anthony;HJ2056.7.A62;2008;;;;;;;;;;;;;;;;;;;;;
;337;Impuesto general a las ventas Manual operativo del contador;Carlos Bassallo Ramos;HJ5715.P4.B26;2006;;;;;;;;;;;;;;;;;;;;;
;338;La experiencia digital en presente continuo;Guiomar Salvat Martinrey;HM846.E97;2000;;;;;;;;;;;;;;;;;;;;;
;339;Los dueños de la red Una historias politicas de internet;Pierre Mounier;HM851.M88;2002;;;;;;;;;;;;;;;;;;;;;
;340;Los dueños de la red Una historias politicas de internet;Pierre Mounier;HM851.M88 ej. 2;2002;;;;;;;;;;;;;;;;;;;;;
;341;"Amnistia Internacional Informe 2006 El estado 
de los derechos humanos en el mundo";Anonimo;JC571.A52;2006;;;;;;;;;;;;;;;;;;;;;
;342;"Amnistia Internacional Informe 2006 El estado
 de los derechos humanos en el mundo";Anonimo;JC571.A52 ej. 2;2006;;;;;;;;;;;;;;;;;;;;;
;343;"Amnistia Internacional Informe 2006 El estado
 de los derechos humanos en el mundo";Anonimo;JC571.A52 ej. 3;2006;;;;;;;;;;;;;;;;;;;;;
;344;"Amnistia Internacional Informe 2006 El estado
 de los derechos humanos en el mundo";Anonimo;JC571.A52 ej. 4;2006;;;;;;;;;;;;;;;;;;;;;
;345;GOBIERNO ELECTRONICO EN AMERICA LATINA Revision y Tendencia;Julian David Cortez Sanchez, Diego Fernando Cardona Madariaga;JF1525.A8.C78;2015;;;;;;;;;;;;;;;;;;;;;
;346;Informática y responsabilidad civil;Pablo Bolotnikoff;K564.C6.B72;2004;;;;;;;;;;;;;;;;;;;;;
;347;Derecho e Informatica;Universidad de Lima;KG103.C65.C76;2000;;;;;;;;;;;;;;;;;;;;;
;348;Derecho de Personas e Informatica IDENTIDAD DIGITAL;Carlos A. Ferreyros Soto, Hortencia Elena Ferreyro Soto, David Mauricio Sanchez;KHQ449.F43;2016;;;;;;;;;;;;;;;;;;;;;
;349;Derecho de Personas e Informatica IDENTIDAD DIGITAL;Carlos A. Ferreyros Soto, Hortencia Elena Ferreyro Soto, David Mauricio Sanchez;KHQ449.F43 ej. 2;2016;;;;;;;;;;;;;;;;;;;;;
;350;Derecho de Personas e Informatica IDENTIDAD DIGITAL;Carlos A. Ferreyros Soto, Hortencia Elena Ferreyro Soto, David Mauricio Sanchez;KHQ449.F43 ej. 3;2016;;;;;;;;;;;;;;;;;;;;;
;351;Derecho de Personas e Informatica IDENTIDAD DIGITAL;Carlos A. Ferreyros Soto, Hortencia Elena Ferreyro Soto, David Mauricio Sanchez;KHQ449.F43 ej. 4;2016;;;;;;;;;;;;;;;;;;;;;
;352;Derecho de Personas e Informatica IDENTIDAD DIGITAL;Carlos A. Ferreyros Soto, Hortencia Elena Ferreyro Soto, David Mauricio Sanchez;KHQ449.F43 ej. 5;2016;;;;;;;;;;;;;;;;;;;;;
;353;Problematica Universitaria del Perú en el siglo XX;Gabino Herrera Centeno;LA598.P87;2002;;;;;;;;;;;;;;;;;;;;;
;354;Problematica Universitaria del Perú en el siglo XX;Gabino Herrera Centeno;LA598.P87 ej. 2;2002;;;;;;;;;;;;;;;;;;;;;
;355;Problematica Universitaria del Perú en el siglo XX;Gabino Herrera Centeno;LA598.P87 ej. 3;2002;;;;;;;;;;;;;;;;;;;;;
;356;Problematica Universitaria del Perú en el siglo XX;Gabino Herrera Centeno;LA598.P87 ej. 4;2002;;;;;;;;;;;;;;;;;;;;;
;357;Estudiar y aprender;Carlos E. Brizuela;LB1049.B83;2007;;;;;;;;;;;;;;;;;;;;;
;358;Tecnicas de estudio e investigacion;Mavilo Calero Perez;LB1049.C23;2008;;;;;;;;;;;;;;;;;;;;;
;359;Tecnicas de estudio e investigacion;Elva Anita Casas Pio;LB1049.C32;2006;;;;;;;;;;;;;;;;;;;;;
;360;Como estudiar;Ron Fry;LB1049.F86;2009;;;;;;;;;;;;;;;;;;;;;
;361;Como estudiar hoy;Hector Guerra;LB1049.G86;2010;;;;;;;;;;;;;;;;;;;;;
;362;Como estudiar hoy;Hector Guerra;LB1049.G86 ej. 2;2010;;;;;;;;;;;;;;;;;;;;;
;363;"Gestión de la complejidad en las organizaciones 
La estrategia frente a lo imprevisto y lo impensado";Jorge Etkin;LB1062.6.E94;2011;;;;;;;;;;;;;;;;;;;;;
;364;"El concepto de competencias desde la complejidad 
Hacia la construccion de competencias educativas";Magalys Ruiz Iglesias;LB1062.6.R93;2010;;;;;;;;;;;;;;;;;;;;;
;365;"La revolución contemporánea del saber y la 
complejidad social hacia unas ciencias sociales de nuevo tipo";Pedro Luis Sotolongo Codina;LB1062.6.R93;2006;;;;;;;;;;;;;;;;;;;;;
;366;"Incrementar el aprendizaje estudiantil en America Latina 
El desafió para el siglo XXI";Emiliana Vegas;LB1062.6.V39;2008;;;;;;;;;;;;;;;;;;;;;
;367;"La evaluación y acreditación de la calidad en las 
leyes de educación superior de América Latina";Martin Guadalupe Inga;LB2331.65.L29.G85;2006;;;;;;;;;;;;;;;;;;;;;
;368;"La evaluación y acreditación de la calidad en las 
leyes de educación superior de América Latina";Martin Guadalupe Inga;LB2331.65.L29.G85 ej. 2;2006;;;;;;;;;;;;;;;;;;;;;
;369;"Enseñanza y didáctica universitaria Discurso 
y formación documental del estudiante";Maria V. Alzate Piedrahita;LB2331.A51;2009;;;;;;;;;;;;;;;;;;;;;
;370;"Gobierno de las Universidades de America 
Latina Derecho universitario comparado";David Velasquez Silva;LB2341.8.L37.V39;2005;;;;;;;;;;;;;;;;;;;;;
;371;"Gobierno de las Universidades de America Latina 
Derecho universitario comparado";David Velasquez Silva;LB2341.8.L37.V39 ej. 2;2005;;;;;;;;;;;;;;;;;;;;;
;372;Nuevas tendencias en gestion universitaria;David Velasquez Silva;LB2341.V39;2004;;;;;;;;;;;;;;;;;;;;;
;373;Nuevas tendencias en gestion universitaria;David Velasquez Silva;LB2341.V39 ej. 2;2004;;;;;;;;;;;;;;;;;;;;;
;374;"Manual de Investigacion Universitaria Pautas 
para la planificación de una tesis";Walter Andia Valencia;LC88.A1.A59;2017;;;;;;;;;;;;;;;;;;;;;
;375;"Manual de Investigacion Universitaria 
Pautas para la planificación de una tesis";Walter Andia Valencia;LC88.A1.A59 ej. 2;2017;;;;;;;;;;;;;;;;;;;;;
;376;"Manual de Investigacion Universitaria 
Pautas para la planificación de una tesis";Walter Andia Valencia;LC88.A1.A59 ej. 3;2017;;;;;;;;;;;;;;;;;;;;;
;377;"Manual de Investigacion Universitaria 
Pautas para la planificación de una tesis";Walter Andia Valencia;LC88.A1.A59 ej. 4;2017;;;;;;;;;;;;;;;;;;;;;
;378;"Manual de Investigacion Universitaria 
Pautas para la planificación de una tesis";Walter Andia Valencia;LC88.A1.A59 ej. 5;2017;;;;;;;;;;;;;;;;;;;;;
;379;Los estudiantes indigenas amazonicos de la UNMSM;Anonimo;LE66.L74.E92;2005;;;;;;;;;;;;;;;;;;;;;
;380;Los estudiantes indigenas amazonicos de la UNMSM;Anonimo;LE66.L74.E92 ej. 2;2005;;;;;;;;;;;;;;;;;;;;;
